CrossSectionReference,Weight,l1,l1_5,l2,l2_5,l3,l3_5,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,secMomArea
356x406x1299,1299,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9770,9700,9630,9560,755000
356x406x1202,1202,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8860,8850,8780,8720,8650,8590,664000
356x406x1086,1086,8030,8030,8030,8030,8030,8030,8030,8030,8030,8030,8030,8030,7960,7900,7830,7770,7710,596000
356x406x990,990,7160,7160,7160,7160,7160,7160,7160,7160,7160,7160,7160,7130,7060,7000,6940,6880,6820,519000
356x406x900,900,6380,6380,6380,6380,6380,6380,6380,6380,6380,6380,6380,6310,6250,6190,6130,6080,6020,450000
356x406x818,818,6070,6070,6070,6070,6070,6070,6070,6070,6070,6070,6000,5930,5860,5800,5740,5680,5620,392000
356x406x744,744,5410,5410,5410,5410,5410,5410,5410,5410,5410,5380,5310,5250,5180,5130,5070,5010,4960,342000
356x406x677,677,4840,4840,4840,4840,4840,4840,4840,4840,4840,4780,4720,4660,4600,4540,4490,4440,4380,300000
356x406x634,634,4620,4620,4620,4620,4620,4620,4620,4620,4600,4530,4460,4400,4340,4290,4230,4180,4120,275000
356x406x592,592,4270,4270,4270,4270,4270,4270,4270,4270,4240,4170,4110,4050,3990,3940,3880,3830,3780,250000
356x406x551,551,3930,3930,3930,3930,3930,3930,3930,3930,3880,3820,3760,3700,3650,3590,3540,3490,3440,227000
356x406x509,509,3700,3700,3700,3700,3700,3700,3700,3690,3620,3560,3500,3440,3380,3330,3270,3220,3170,204000
356x406x467,467,3350,3350,3350,3350,3350,3350,3350,3330,3260,3200,3140,3090,3030,2980,2930,2880,2830,183000
356x406x393,393,2750,2750,2750,2750,2750,2750,2750,2710,2650,2590,2540,2480,2430,2380,2340,2290,2240,147000
356x406x340,340,2340,2340,2340,2340,2340,2340,2340,2290,2230,2180,2120,2080,2030,1980,1930,1890,1840,123000
356x406x287,287,2000,2000,2000,2000,2000,2000,1990,1930,1880,1820,1770,1720,1670,1620,1570,1530,1480,99900
356x406x235,235,1620,1620,1620,1620,1620,1620,1600,1540,1490,1440,1390,1340,1290,1250,1200,1160,1120,79100
356x368x202,202,1370,1370,1370,1370,1370,1360,1340,1290,1240,1190,1140,1090,1050,1000,960,919,881,66300
356x368x177,177,1190,1190,1190,1190,1190,1180,1160,1110,1060,1020,971,925,880,838,798,760,724,57100
356x368x153,153,1020,1020,1020,1020,1020,1010,989,945,901,856,812,768,726,686,649,614,582,48600
356x368x129,129,780,780,780,780,780,775,759,725,690,655,620,585,551,519,488,460,435,40200
305x305x283,283,1710,1710,1710,1710,1710,1710,1680,1640,1600,1560,1520,1480,1440,1400,1370,1330,1300,78900
305x305x240,240,1470,1470,1470,1470,1470,1450,1430,1380,1340,1300,1260,1220,1180,1150,1110,1080,1040,64200
305x305x198,198,1190,1190,1190,1190,1190,1160,1140,1100,1060,1020,982,946,911,877,844,813,783,50900
305x305x158,158,925,925,925,925,918,897,877,838,801,764,729,695,662,631,602,574,549,38700
305x305x137,137,794,794,794,794,784,765,747,710,673,638,604,571,540,511,484,459,436,32800
305x305x118,118,676,676,676,676,666,648,631,597,562,528,495,464,435,408,384,362,342,27700
305x305x97,97,515,515,515,515,507,494,480,452,424,396,368,342,318,297,277,260,244,22200
254x254x167,167,835,835,835,835,825,808,793,764,737,712,687,662,639,616,594,572,552,30000
254x254x132,132,645,645,645,645,630,615,601,574,549,525,501,479,457,436,417,399,381,22500
254x254x107,107,511,511,511,507,493,480,467,442,418,395,373,353,333,315,298,283,269,17500
254x254x89,89,421,421,421,416,404,392,380,356,333,311,290,271,254,238,224,211,199,14300
254x254x73,73,352,352,352,345,334,322,311,288,265,243,223,205,189,176,164,153,144,11400
203x203x127,127,524,524,524,520,509,498,489,470,453,436,420,404,388,373,359,345,332,15400
203x203x113,113,459,459,459,452,441,432,422,405,388,372,356,341,326,313,299,287,275,13300
203x203x100,100,397,397,397,388,378,369,360,343,327,311,296,282,268,256,243,232,222,11300
203x203x86,86,337,337,337,327,318,309,300,284,269,254,240,226,214,203,192,182,173,9450
203x203x71,71,276,276,274,265,256,248,240,224,209,196,183,171,160,150,141,133,126,7620
203x203x60,60,233,233,230,221,213,204,196,181,166,152,140,129,120,112,104,97.8,92.1,6120
203x203x52,52,201,201,198,190,182,174,167,151,137,125,114,104,95.8,88.7,82.6,77.2,71.9,5260
203x203x46,46,176,176,173,166,158,151,143,129,115,104,93.6,85.1,77.9,71.8,66.6,61.2,56.5,4570
152x152x51,51,155,155,149,143,138,133,128,119,110,102,94.3,87.7,81.8,76.6,71.9,67.7,64,3230
152x152x44,44,132,131,125,120,115,110,105,96.2,88,80.6,74.1,68.4,63.4,59.1,55.2,51.9,48.7,2700
152x152x37,37,110,108,103,98.1,93.2,88.4,83.8,75.3,67.7,61.2,55.7,51,47,43.5,40.4,37.2,34.5,2210
152x152x30,30,88,86.4,81.7,77.1,72.5,68,63.7,55.8,49.1,43.7,39.3,35.6,32.5,29.4,26.8,24.7,22.8,1750
152x152x23,23,58.2,57.2,54,50.7,47.3,43.9,40.6,34.8,30.1,26.4,23.4,20.9,18.6,16.8,15.3,14,12.9,1250
