CrossSectionReference,Weight,l1,l1_5,l2,l2_5,l3,l3_5,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,SecMomArea
356x406x1299,1299,48800,48800,48800,47800,46600,45400,44200,41700,39000,36200,33200,30300,27400,24700,22300,20000,18000,2.22
356x406x1202,1202,45200,45200,45200,44100,43000,41900,40700,38400,35800,33200,30400,27700,25000,22500,20200,18200,16300,2.35
356x406x1086,1086,40900,40900,40900,39800,38800,37700,36700,34400,32100,29600,27000,24500,22000,19700,17700,15800,14200,2.55
356x406x990,990,37200,37200,37200,36200,35200,34300,33300,31200,29000,26700,24300,22000,19700,17600,15800,14100,12700,2.75
356x406x900,900,33900,33900,33800,32900,32000,31100,30200,28300,26200,24100,21900,19700,17700,15800,14100,12600,11300,2.97
356x406x818,818,32900,32900,32600,31700,30800,29900,28900,26900,24800,22600,20400,18300,16200,14400,12800,11400,10200,3.22
356x406x744,744,29900,29900,29600,28700,27900,27100,26200,24400,22400,20400,18300,16400,14500,12900,11400,10200,9070,3.48
356x406x677,677,27200,27200,26900,26100,25400,24600,23800,22100,20300,18400,16500,14700,13100,11600,10200,9100,8120,3.77
356x406x634,634,26300,26300,25900,25100,24400,23600,22800,21100,19300,17400,15600,13800,12200,10800,9510,8430,7510,3.98
356x406x592,592,24500,24500,24200,23500,22700,22000,21200,19700,18000,16200,14500,12800,11300,9960,8800,7800,6940,4.22
356x406x551,551,22800,22800,22500,21800,21100,20400,19700,18300,16700,15000,13400,11900,10500,9230,8150,7220,6430,4.49
356x406x509,509,21700,21700,21300,20700,20000,19400,18700,17200,15700,14000,12500,11000,9650,8480,7470,6610,5870,4.81
356x406x467,467,19900,19900,19600,18900,18300,17700,17100,15700,14300,12800,11300,9980,8760,7690,6770,5990,5320,5.18
356x406x393,393,16800,16800,16400,15900,15400,14800,14300,13100,11900,10600,9370,8220,7190,6300,5540,4900,4340,6.06
356x406x340,340,14500,14500,14200,13700,13300,12800,12300,11300,10200,9100,8020,7020,6140,5370,4720,4170,3700,6.91
356x406x287,287,12600,12600,12300,11900,11500,11100,10600,9720,8740,7750,6800,5930,5170,4510,3960,3490,3090,8.05
356x406x235,235,10300,10300,10000,9700,9370,9020,8660,7900,7100,6280,5500,4790,4170,3640,3180,2800,2480,9.7
356x368x202,202,8870,8860,8560,8250,7940,7620,7290,6580,5840,5100,4410,3800,3290,2850,2490,2180,1930,10.8
356x368x177,177,7800,7790,7520,7250,6970,6690,6390,5760,5110,4460,3850,3320,2860,2480,2170,1900,1680,12.3
356x368x153,153,6730,6710,6480,6250,6010,5760,5500,4960,4390,3820,3300,2840,2450,2120,1850,1630,1440,14.1
356x368x129,129,5660,5640,5450,5250,5050,4840,4620,4160,3670,3200,2760,2370,2040,1770,1540,1350,1200,16.6
305x305x283,283,12100,11900,11400,10900,10400,9910,9360,8220,7070,5990,5060,4280,3650,3130,2710,2370,2080,6.86
305x305x240,240,10600,10400,9930,9500,9050,8580,8080,7050,6010,5070,4260,3590,3050,2620,2260,1970,1730,7.96
305x305x198,198,8690,8510,8160,7800,7420,7020,6610,5740,4880,4100,3440,2900,2460,2110,1820,1580,1390,9.44
305x305x158,158,6930,6780,6490,6190,5880,5560,5220,4520,3820,3200,2680,2250,1910,1630,1410,1230,1080,11.6
305x305x137,137,6000,5860,5610,5350,5080,4800,4500,3880,3280,2740,2290,1920,1630,1390,1200,1040,918,13.3
305x305x118,118,5180,5050,4830,4600,4370,4120,3860,3330,2800,2340,1950,1640,1380,1180,1020,889,780,15.4
305x305x97,97,4370,4240,4050,3860,3660,3440,3220,2750,2300,1910,1590,1330,1120,959,826,719,630,18.5
254x254x167,167,7350,7030,6680,6300,5910,5490,5060,4200,3420,2780,2270,1880,1580,1340,1150,1000,875,9.46
254x254x132,132,5800,5530,5240,4940,4620,4290,3940,3250,2640,2140,1740,1440,1210,1030,881,764,668,11.7
254x254x107,107,4690,4470,4230,3980,3720,3440,3160,2590,2090,1690,1380,1140,955,810,694,602,526,14.2
254x254x89,89,3900,3710,3510,3300,3080,2850,2610,2140,1720,1390,1140,938,785,665,571,494,432,16.9
254x254x73,73,3300,3130,2960,2780,2580,2380,2170,1760,1420,1140,925,762,637,540,463,401,350,20.4
203x203x127,127,5490,5160,4810,4430,4040,3630,3220,2500,1940,1520,1220,998,829,699,597,516,450,10
203x203x113,113,4910,4610,4290,3950,3590,3220,2860,2210,1710,1340,1080,879,730,616,526,454,396,11.2
203x203x100,100,4290,4030,3740,3440,3130,2800,2480,1910,1470,1160,926,755,627,528,451,389,339,12.6
203x203x86,86,3720,3480,3230,2970,2690,2400,2120,1630,1260,986,789,644,534,450,384,332,289,14.4
203x203x71,71,3050,2860,2650,2430,2200,1960,1730,1330,1020,801,640,522,433,365,311,269,234,17.2
203x203x60,60,2640,2470,2280,2080,1870,1660,1450,1100,844,659,526,428,355,299,255,220,191,20.2
203x203x52,52,2290,2140,1980,1800,1620,1430,1260,952,728,568,453,369,306,257,219,189,165,23.1
203x203x46,46,2020,1890,1740,1590,1420,1260,1100,832,635,495,395,321,266,224,191,165,143,25.8
152x152x51,51,2160,1960,1730,1490,1260,1050,879,625,461,352,277,224,184,154,131,113,97.7,18.3
152x152x44,44,1860,1680,1480,1280,1070,894,745,529,390,297,234,189,155,130,110,95,82.5,21
152x152x37,37,1550,1400,1240,1060,889,738,614,435,320,244,192,155,127,107,90.5,77.8,67.6,24.6
152x152x30,30,1260,1140,999,854,714,592,492,347,256,195,153,123,102,85,72.2,62,53.9,30
152x152x23,23,955,856,746,632,524,431,356,250,183,140,110,88.3,72.6,60.7,51.6,44.3,38.5,38.7
